Zeit;Kanal A
(ms);(mV)

-21,95199913;-2,97797700
-21,94699913;-1,48868100
-21,94199913;-1,86146600
-21,93699913;-1,30290300
-21,93199913;-1,48868100
-21,92699913;-0,74434050
-21,92199913;-0,55794780
-21,91699913;0,00000000
-21,91199913;0,00000000
-21,90699913;0,18577760
-21,90199913;0,00000000
-21,89699913;-0,37217020
-21,89199913;-0,18577760
-21,88699913;-0,37217020
-21,88199913;-1,30290300
-21,87699913;-1,67507400
-21,87199913;-1,86146600
-21,86699913;-2,97797700
-21,86199913;-2,60580700
-21,85699913;-3,72293300
-21,85199913;-3,53654000
-21,84699913;-4,28149600
-21,84199913;-3,90871000
-21,83699913;-3,53654000
-21,83199913;-3,16437000
-21,82699913;-3,53654000
-21,82199913;-2,97797700
-21,81699913;-3,16437000
-21,81199913;-2,60580700
-21,80699913;-2,04724400
-21,80199913;-2,41941400
-21,79699913;-2,23363700
-21,79199913;-1,86146600
-21,78699913;-0,74434050
-21,78199913;-1,48868100
-21,77699913;-0,37217020
-21,77199913;-0,55794780
-21,76699913;0,93073320
-21,76199913;0,18577760
-21,75699913;-0,37217020
-21,75199913;0,00000000
-21,74699913;0,18577760
-21,74199913;0,00000000
-21,73699913;-0,74434050
-21,73199913;0,00000000
-21,72699913;-0,74434050
-21,72199913;0,18577760
-21,71699913;-0,74434050
-21,71199913;0,55794780
-21,70699914;0,18577760
-21,70199914;1,48868100
-21,69699914;1,11651100
-21,69199914;1,11651100
-21,68699914;2,79220000
-21,68199914;1,30290300
-21,67699914;2,79220000
-21,67199914;2,41941400
-21,66699914;3,16437000
-21,66199914;3,16437000
-21,65699914;3,72293300
-21,65199914;4,09510300
-21,64699914;3,35014700
-21,64199914;3,35014700
-21,63699914;3,35014700
-21,63199914;3,35014700
-21,62699914;3,16437000
-21,62199914;2,97797700
-21,61699914;2,41941400
-21,61199914;2,79220000
-21,60699914;2,41941400
-21,60199914;2,04724400
-21,59699914;2,04724400
-21,59199914;2,04724400
-21,58699914;2,04724400
-21,58199914;1,48868100
-21,57699914;1,86146600
-21,57199914;1,86146600
-21,56699914;1,11651100
-21,56199914;2,04724400
-21,55699914;1,48868100
-21,55199914;2,97797700
-21,54699914;2,79220000
-21,54199914;2,97797700
-21,53699914;2,41941400
-21,53199914;2,23363700
-21,52699914;2,41941400
-21,52199914;2,60580700
-21,51699914;2,97797700
-21,51199914;2,60580700
-21,50699914;2,97797700
-21,50199914;2,79220000
-21,49699914;3,35014700
-21,49199914;3,35014700
-21,48699914;3,53654000
-21,48199914;2,79220000
-21,47699914;2,97797700
-21,47199914;3,35014700
-21,46699914;3,35014700
-21,46199914;3,53654000
-21,45699914;0,93073320
-21,45199914;4,28149600
-21,44699914;3,35014700
-21,44199914;3,16437000
-21,43699914;2,97797700
-21,43199914;2,79220000
-21,42699914;2,97797700
-21,42199914;2,97797700
-21,41699914;2,41941400
-21,41199914;2,97797700
-21,40699914;1,86146600
-21,40199914;1,86146600
-21,39699914;2,41941400
-21,39199914;2,79220000
-21,38699914;2,97797700
-21,38199914;1,86146600
-21,37699914;3,72293300
-21,37199914;3,35014700
-21,36699914;4,28149600
-21,36199914;3,72293300
-21,35699914;2,97797700
-21,35199914;3,53654000
-21,34699914;3,35014700
-21,34199914;3,35014700
-21,33699914;2,04724400
-21,33199914;2,41941400
-21,32699914;1,86146600
-21,32199914;2,41941400
-21,31699914;1,86146600
-21,31199915;1,86146600
-21,30699915;1,86146600
-21,30199915;2,41941400
-21,29699915;2,23363700
-21,29199915;1,86146600
-21,28699915;2,41941400
-21,28199915;2,04724400
-21,27699915;2,04724400
-21,27199915;2,04724400
-21,26699915;1,86146600
-21,26199915;1,48868100
-21,25699915;1,67507400
-21,25199915;1,86146600
-21,24699915;1,86146600
-21,24199915;1,11651100
-21,23699915;0,55794780
-21,23199915;0,74434050
-21,22699915;0,00000000
-21,22199915;0,37217020
-21,21699915;0,00000000
-21,21199915;-0,18577760
-21,20699915;0,37217020
-21,20199915;0,55794780
-21,19699915;4,28149600
-21,19199915;1,67507400
-21,18699915;1,86146600
-21,18199915;2,04724400
-21,17699915;2,41941400
-21,17199915;3,72293300
-21,16699915;3,35014700
-21,16199915;4,28149600
-21,15699915;4,83944400
-21,15199915;4,46727300
-21,14699915;3,35014700
-21,14199915;3,35014700
-21,13699915;2,79220000
-21,13199915;2,23363700
-21,12699915;0,93073320
-21,12199915;1,48868100
-21,11699915;-0,18577760
-21,11199915;-2,41941400
-21,10699915;-0,55794780
-21,10199915;2,23363700
-21,09699915;-1,11651100
-21,09199915;-1,30290300
-21,08699915;-0,37217020
-21,08199915;-0,18577760
-21,07699915;-1,11651100
-21,07199915;-1,11651100
-21,06699915;-1,30290300
-21,06199915;-1,11651100
-21,05699915;-1,30290300
-21,05199915;-1,67507400
-21,04699915;-1,48868100
-21,04199915;-1,11651100
-21,03699915;-1,11651100
-21,03199915;-1,30290300
-21,02699915;-1,86146600
-21,02199915;-2,04724400
-21,01699915;-2,04724400
-21,01199915;-1,86146600
-21,00699915;-2,60580700
-21,00199915;-2,23363700
-20,99699915;-2,60580700
-20,99199915;-2,04724400
-20,98699915;-3,16437000
-20,98199915;-2,60580700
-20,97699915;-3,53654000
-20,97199915;-2,97797700
-20,96699915;-3,53654000
-20,96199915;-3,53654000
-20,95699915;-3,90871000
-20,95199915;-3,16437000
-20,94699915;-3,72293300
-20,94199915;-2,97797700
-20,93699915;-2,97797700
-20,93199915;-2,60580700
-20,92699915;-2,23363700
-20,92199915;-1,86146600
-20,91699916;-1,86146600
-20,91199916;-1,48868100
-20,90699916;-1,67507400
-20,90199916;-1,48868100
-20,89699916;-1,67507400
-20,89199916;-1,67507400
-20,88699916;-2,60580700
-20,88199916;-2,04724400
-20,87699916;-2,97797700
-20,87199916;-2,41941400
-20,86699916;-3,16437000
-20,86199916;-3,16437000
-20,85699916;-3,53654000
-20,85199916;-3,90871000
-20,84699916;-3,90871000
-20,84199916;-3,16437000
-20,83699916;-3,35014700
-20,83199916;-2,97797700
-20,82699916;-3,53654000
-20,82199916;-3,16437000
-20,81699916;-2,41941400
-20,81199916;-2,41941400
-20,80699916;-2,60580700
-20,80199916;-2,97797700
-20,79699916;-2,60580700
-20,79199916;-2,23363700
-20,78699916;-3,16437000
-20,78199916;-3,53654000
-20,77699916;-3,90871000
-20,77199916;-2,79220000
-20,76699916;-3,16437000
-20,76199916;-3,35014700
-20,75699916;-3,53654000
-20,75199916;-2,60580700
-20,74699916;-4,09510300
-20,74199916;-3,53654000
-20,73699916;-3,16437000
-20,73199916;-3,16437000
-20,72699916;-3,35014700
-20,72199916;-3,35014700
-20,71699916;-2,79220000
-20,71199916;-2,79220000
-20,70699916;-3,16437000
-20,70199916;-2,79220000
-20,69699916;-2,60580700
